Node_Index_0based,Node_Index_1based,Parcel_Label,Structure_Type,Hemisphere,Anatomical_Region,Yeo_Network,FSL_Label,In_Posterior_Hot_Zone,In_Global_Neuronal_Workspace
75,76,7Networks_LH_Vis_76,Cortex,Left,Vis,Visual,-1,1,0
76,77,7Networks_LH_Vis_77,Cortex,Left,Vis,Visual,-1,1,0
77,78,7Networks_LH_Vis_78,Cortex,Left,Vis,Visual,-1,1,0
78,79,7Networks_LH_Vis_79,Cortex,Left,Vis,Visual,-1,1,0
79,80,7Networks_LH_Vis_80,Cortex,Left,Vis,Visual,-1,1,0
80,81,7Networks_LH_Vis_81,Cortex,Left,Vis,Visual,-1,1,0
81,82,7Networks_LH_SomMot_1,Cortex,Left,SomMot,Somatomotor,-1,0,0
82,83,7Networks_LH_SomMot_2,Cortex,Left,SomMot,Somatomotor,-1,0,0
83,84,7Networks_LH_SomMot_3,Cortex,Left,SomMot,Somatomotor,-1,0,0
84,85,7Networks_LH_SomMot_4,Cortex,Left,SomMot,Somatomotor,-1,0,0
85,86,7Networks_LH_SomMot_5,Cortex,Left,SomMot,Somatomotor,-1,0,0
86,87,7Networks_LH_SomMot_6,Cortex,Left,SomMot,Somatomotor,-1,0,0
87,88,7Networks_LH_SomMot_7,Cortex,Left,SomMot,Somatomotor,-1,0,0
88,89,7Networks_LH_SomMot_8,Cortex,Left,SomMot,Somatomotor,-1,0,0
89,90,7Networks_LH_SomMot_9,Cortex,Left,SomMot,Somatomotor,-1,0,0
90,91,7Networks_LH_SomMot_10,Cortex,Left,SomMot,Somatomotor,-1,0,0
91,92,7Networks_LH_SomMot_11,Cortex,Left,SomMot,Somatomotor,-1,0,0
92,93,7Networks_LH_SomMot_12,Cortex,Left,SomMot,Somatomotor,-1,0,0
93,94,7Networks_LH_SomMot_13,Cortex,Left,SomMot,Somatomotor,-1,0,0
94,95,7Networks_LH_SomMot_14,Cortex,Left,SomMot,Somatomotor,-1,0,0
95,96,7Networks_LH_SomMot_15,Cortex,Left,SomMot,Somatomotor,-1,0,0
96,97,7Networks_LH_SomMot_16,Cortex,Left,SomMot,Somatomotor,-1,0,0
97,98,7Networks_LH_SomMot_17,Cortex,Left,SomMot,Somatomotor,-1,0,0
98,99,7Networks_LH_SomMot_18,Cortex,Left,SomMot,Somatomotor,-1,0,0
99,100,7Networks_LH_SomMot_19,Cortex,Left,SomMot,Somatomotor,-1,0,0
100,101,7Networks_LH_SomMot_20,Cortex,Left,SomMot,Somatomotor,-1,0,0
101,102,7Networks_LH_SomMot_21,Cortex,Left,SomMot,Somatomotor,-1,0,0
102,103,7Networks_LH_SomMot_22,Cortex,Left,SomMot,Somatomotor,-1,0,0
103,104,7Networks_LH_SomMot_23,Cortex,Left,SomMot,Somatomotor,-1,0,0
104,105,7Networks_LH_SomMot_24,Cortex,Left,SomMot,Somatomotor,-1,0,0
105,106,7Networks_LH_SomMot_25,Cortex,Left,SomMot,Somatomotor,-1,0,0
106,107,7Networks_LH_SomMot_26,Cortex,Left,SomMot,Somatomotor,-1,0,0
107,108,7Networks_LH_SomMot_27,Cortex,Left,SomMot,Somatomotor,-1,0,0
108,109,7Networks_LH_SomMot_28,Cortex,Left,SomMot,Somatomotor,-1,0,0
109,110,7Networks_LH_SomMot_29,Cortex,Left,SomMot,Somatomotor,-1,0,0
110,111,7Networks_LH_SomMot_30,Cortex,Left,SomMot,Somatomotor,-1,0,0
111,112,7Networks_LH_SomMot_31,Cortex,Left,SomMot,Somatomotor,-1,0,0
112,113,7Networks_LH_SomMot_32,Cortex,Left,SomMot,Somatomotor,-1,0,0
113,114,7Networks_LH_SomMot_33,Cortex,Left,SomMot,Somatomotor,-1,0,0
114,115,7Networks_LH_SomMot_34,Cortex,Left,SomMot,Somatomotor,-1,0,0
115,116,7Networks_LH_SomMot_35,Cortex,Left,SomMot,Somatomotor,-1,0,0
116,117,7Networks_LH_SomMot_36,Cortex,Left,SomMot,Somatomotor,-1,0,0
117,118,7Networks_LH_SomMot_37,Cortex,Left,SomMot,Somatomotor,-1,0,0
118,119,7Networks_LH_SomMot_38,Cortex,Left,SomMot,Somatomotor,-1,0,0
119,120,7Networks_LH_SomMot_39,Cortex,Left,SomMot,Somatomotor,-1,0,0
120,121,7Networks_LH_SomMot_40,Cortex,Left,SomMot,Somatomotor,-1,0,0
121,122,7Networks_LH_SomMot_41,Cortex,Left,SomMot,Somatomotor,-1,0,0
122,123,7Networks_LH_SomMot_42,Cortex,Left,SomMot,Somatomotor,-1,0,0
123,124,7Networks_LH_SomMot_43,Cortex,Left,SomMot,Somatomotor,-1,0,0
124,125,7Networks_LH_SomMot_44,Cortex,Left,SomMot,Somatomotor,-1,0,0
125,126,7Networks_LH_SomMot_45,Cortex,Left,SomMot,Somatomotor,-1,0,0
126,127,7Networks_LH_SomMot_46,Cortex,Left,SomMot,Somatomotor,-1,0,0
127,128,7Networks_LH_SomMot_47,Cortex,Left,SomMot,Somatomotor,-1,0,0
128,129,7Networks_LH_SomMot_48,Cortex,Left,SomMot,Somatomotor,-1,0,0
129,130,7Networks_LH_SomMot_49,Cortex,Left,SomMot,Somatomotor,-1,0,0
130,131,7Networks_LH_SomMot_50,Cortex,Left,SomMot,Somatomotor,-1,0,0
131,132,7Networks_LH_SomMot_51,Cortex,Left,SomMot,Somatomotor,-1,0,0
132,133,7Networks_LH_SomMot_52,Cortex,Left,SomMot,Somatomotor,-1,0,0
133,134,7Networks_LH_SomMot_53,Cortex,Left,SomMot,Somatomotor,-1,0,0
134,135,7Networks_LH_SomMot_54,Cortex,Left,SomMot,Somatomotor,-1,0,0
135,136,7Networks_LH_SomMot_55,Cortex,Left,SomMot,Somatomotor,-1,0,0
136,137,7Networks_LH_SomMot_56,Cortex,Left,SomMot,Somatomotor,-1,0,0
137,138,7Networks_LH_SomMot_57,Cortex,Left,SomMot,Somatomotor,-1,0,0
138,139,7Networks_LH_SomMot_58,Cortex,Left,SomMot,Somatomotor,-1,0,0
139,140,7Networks_LH_SomMot_59,Cortex,Left,SomMot,Somatomotor,-1,0,0
140,141,7Networks_LH_SomMot_60,Cortex,Left,SomMot,Somatomotor,-1,0,0
141,142,7Networks_LH_SomMot_61,Cortex,Left,SomMot,Somatomotor,-1,0,0
142,143,7Networks_LH_SomMot_62,Cortex,Left,SomMot,Somatomotor,-1,0,0
143,144,7Networks_LH_SomMot_63,Cortex,Left,SomMot,Somatomotor,-1,0,0
144,145,7Networks_LH_SomMot_64,Cortex,Left,SomMot,Somatomotor,-1,0,0
145,146,7Networks_LH_SomMot_65,Cortex,Left,SomMot,Somatomotor,-1,0,0
146,147,7Networks_LH_SomMot_66,Cortex,Left,SomMot,Somatomotor,-1,0,0
147,148,7Networks_LH_SomMot_67,Cortex,Left,SomMot,Somatomotor,-1,0,0
148,149,7Networks_LH_SomMot_68,Cortex,Left,SomMot,Somatomotor,-1,0,0
149,150,7Networks_LH_SomMot_69,Cortex,Left,SomMot,Somatomotor,-1,0,0
150,151,7Networks_LH_SomMot_70,Cortex,Left,SomMot,Somatomotor,-1,0,0
151,152,7Networks_LH_SomMot_71,Cortex,Left,SomMot,Somatomotor,-1,0,0
152,153,7Networks_LH_SomMot_72,Cortex,Left,SomMot,Somatomotor,-1,0,0
153,154,7Networks_LH_SomMot_73,Cortex,Left,SomMot,Somatomotor,-1,0,0
154,155,7Networks_LH_SomMot_74,Cortex,Left,SomMot,Somatomotor,-1,0,0
155,156,7Networks_LH_SomMot_75,Cortex,Left,SomMot,Somatomotor,-1,0,0
156,157,7Networks_LH_SomMot_76,Cortex,Left,SomMot,Somatomotor,-1,0,0
157,158,7Networks_LH_SomMot_77,Cortex,Left,SomMot,Somatomotor,-1,0,0
158,159,7Networks_LH_SomMot_78,Cortex,Left,SomMot,Somatomotor,-1,0,0
159,160,7Networks_LH_SomMot_79,Cortex,Left,SomMot,Somatomotor,-1,0,0
160,161,7Networks_LH_SomMot_80,Cortex,Left,SomMot,Somatomotor,-1,0,0
161,162,7Networks_LH_SomMot_81,Cortex,Left,SomMot,Somatomotor,-1,0,0
162,163,7Networks_LH_SomMot_82,Cortex,Left,SomMot,Somatomotor,-1,0,0
163,164,7Networks_LH_SomMot_83,Cortex,Left,SomMot,Somatomotor,-1,0,0
164,165,7Networks_LH_SomMot_84,Cortex,Left,SomMot,Somatomotor,-1,0,0
165,166,7Networks_LH_SomMot_85,Cortex,Left,SomMot,Somatomotor,-1,0,0
166,167,7Networks_LH_SomMot_86,Cortex,Left,SomMot,Somatomotor,-1,0,0
167,168,7Networks_LH_SomMot_87,Cortex,Left,SomMot,Somatomotor,-1,0,0
168,169,7Networks_LH_SomMot_88,Cortex,Left,SomMot,Somatomotor,-1,0,0
169,170,7Networks_LH_SomMot_89,Cortex,Left,SomMot,Somatomotor,-1,0,0
170,171,7Networks_LH_SomMot_90,Cortex,Left,SomMot,Somatomotor,-1,0,0
171,172,7Networks_LH_SomMot_91,Cortex,Left,SomMot,Somatomotor,-1,0,0
172,173,7Networks_LH_DorsAttn_Post_1,Cortex,Left,Post,Dorsal_Attention,-1,1,0
173,174,7Networks_LH_DorsAttn_Post_2,Cortex,Left,Post,Dorsal_Attention,-1,1,0
174,175,7Networks_LH_DorsAttn_Post_3,Cortex,Left,Post,Dorsal_Attention,-1,1,0
175,176,7Networks_LH_DorsAttn_Post_4,Cortex,Left,Post,Dorsal_Attention,-1,1,0
