Node_Index,Parcel_Label,Yeo_Network,In_Posterior_Hot_Zone,In_Global_Neuronal_Workspace
123,7Networks_LH_SomMot_43,Somatomotor,0,0
124,7Networks_LH_SomMot_44,Somatomotor,0,0
125,7Networks_LH_SomMot_45,Somatomotor,0,0
126,7Networks_LH_SomMot_46,Somatomotor,0,0
127,7Networks_LH_SomMot_47,Somatomotor,0,0
128,7Networks_LH_SomMot_48,Somatomotor,0,0
129,7Networks_LH_SomMot_49,Somatomotor,0,0
130,7Networks_LH_SomMot_50,Somatomotor,0,0
131,7Networks_LH_SomMot_51,Somatomotor,0,0
132,7Networks_LH_SomMot_52,Somatomotor,0,0
133,7Networks_LH_SomMot_53,Somatomotor,0,0
134,7Networks_LH_SomMot_54,Somatomotor,0,0
135,7Networks_LH_SomMot_55,Somatomotor,0,0
136,7Networks_LH_SomMot_56,Somatomotor,0,0
137,7Networks_LH_SomMot_57,Somatomotor,0,0
138,7Networks_LH_SomMot_58,Somatomotor,0,0
139,7Networks_LH_SomMot_59,Somatomotor,0,0
140,7Networks_LH_SomMot_60,Somatomotor,0,0
141,7Networks_LH_SomMot_61,Somatomotor,0,0
142,7Networks_LH_SomMot_62,Somatomotor,0,0
143,7Networks_LH_SomMot_63,Somatomotor,0,0
144,7Networks_LH_SomMot_64,Somatomotor,0,0
145,7Networks_LH_SomMot_65,Somatomotor,0,0
146,7Networks_LH_SomMot_66,Somatomotor,0,0
147,7Networks_LH_SomMot_67,Somatomotor,0,0
148,7Networks_LH_SomMot_68,Somatomotor,0,0
149,7Networks_LH_SomMot_69,Somatomotor,0,0
150,7Networks_LH_SomMot_70,Somatomotor,0,0
151,7Networks_LH_SomMot_71,Somatomotor,0,0
152,7Networks_LH_SomMot_72,Somatomotor,0,0
153,7Networks_LH_SomMot_73,Somatomotor,0,0
154,7Networks_LH_SomMot_74,Somatomotor,0,0
155,7Networks_LH_SomMot_75,Somatomotor,0,0
156,7Networks_LH_SomMot_76,Somatomotor,0,0
157,7Networks_LH_SomMot_77,Somatomotor,0,0
158,7Networks_LH_SomMot_78,Somatomotor,0,0
159,7Networks_LH_SomMot_79,Somatomotor,0,0
160,7Networks_LH_SomMot_80,Somatomotor,0,0
161,7Networks_LH_SomMot_81,Somatomotor,0,0
162,7Networks_LH_SomMot_82,Somatomotor,0,0
163,7Networks_LH_SomMot_83,Somatomotor,0,0
164,7Networks_LH_SomMot_84,Somatomotor,0,0
165,7Networks_LH_SomMot_85,Somatomotor,0,0
166,7Networks_LH_SomMot_86,Somatomotor,0,0
167,7Networks_LH_SomMot_87,Somatomotor,0,0
168,7Networks_LH_SomMot_88,Somatomotor,0,0
169,7Networks_LH_SomMot_89,Somatomotor,0,0
170,7Networks_LH_SomMot_90,Somatomotor,0,0
171,7Networks_LH_SomMot_91,Somatomotor,0,0
172,7Networks_LH_DorsAttn_Post_1,Dorsal_Attention,1,0
173,7Networks_LH_DorsAttn_Post_2,Dorsal_Attention,1,0
174,7Networks_LH_DorsAttn_Post_3,Dorsal_Attention,1,0
175,7Networks_LH_DorsAttn_Post_4,Dorsal_Attention,1,0
176,7Networks_LH_DorsAttn_Post_5,Dorsal_Attention,1,0
177,7Networks_LH_DorsAttn_Post_6,Dorsal_Attention,1,0
178,7Networks_LH_DorsAttn_Post_7,Dorsal_Attention,1,0
179,7Networks_LH_DorsAttn_Post_8,Dorsal_Attention,1,0
180,7Networks_LH_DorsAttn_Post_9,Dorsal_Attention,1,0
181,7Networks_LH_DorsAttn_Post_10,Dorsal_Attention,1,0
182,7Networks_LH_DorsAttn_Post_11,Dorsal_Attention,1,0
183,7Networks_LH_DorsAttn_Post_12,Dorsal_Attention,1,0
184,7Networks_LH_DorsAttn_Post_13,Dorsal_Attention,1,0
185,7Networks_LH_DorsAttn_Post_14,Dorsal_Attention,1,0
186,7Networks_LH_DorsAttn_Post_15,Dorsal_Attention,1,0
187,7Networks_LH_DorsAttn_Post_16,Dorsal_Attention,1,0
188,7Networks_LH_DorsAttn_Post_17,Dorsal_Attention,1,0
189,7Networks_LH_DorsAttn_Post_18,Dorsal_Attention,1,0
190,7Networks_LH_DorsAttn_Post_19,Dorsal_Attention,1,0
191,7Networks_LH_DorsAttn_Post_20,Dorsal_Attention,1,0
192,7Networks_LH_DorsAttn_Post_21,Dorsal_Attention,1,0
193,7Networks_LH_DorsAttn_Post_22,Dorsal_Attention,1,0
194,7Networks_LH_DorsAttn_Post_23,Dorsal_Attention,1,0
195,7Networks_LH_DorsAttn_Post_24,Dorsal_Attention,1,0
196,7Networks_LH_DorsAttn_Post_25,Dorsal_Attention,1,0
197,7Networks_LH_DorsAttn_Post_26,Dorsal_Attention,1,0
198,7Networks_LH_DorsAttn_Post_27,Dorsal_Attention,1,0
199,7Networks_LH_DorsAttn_Post_28,Dorsal_Attention,1,0
200,7Networks_LH_DorsAttn_Post_29,Dorsal_Attention,1,0
201,7Networks_LH_DorsAttn_Post_30,Dorsal_Attention,1,0
202,7Networks_LH_DorsAttn_Post_31,Dorsal_Attention,1,0
203,7Networks_LH_DorsAttn_Post_32,Dorsal_Attention,1,0
204,7Networks_LH_DorsAttn_Post_33,Dorsal_Attention,1,0
205,7Networks_LH_DorsAttn_Post_34,Dorsal_Attention,1,0
206,7Networks_LH_DorsAttn_Post_35,Dorsal_Attention,1,0
207,7Networks_LH_DorsAttn_Post_36,Dorsal_Attention,1,0
208,7Networks_LH_DorsAttn_Post_37,Dorsal_Attention,1,0
209,7Networks_LH_DorsAttn_Post_38,Dorsal_Attention,1,0
210,7Networks_LH_DorsAttn_Post_39,Dorsal_Attention,1,0
211,7Networks_LH_DorsAttn_Post_40,Dorsal_Attention,1,0
212,7Networks_LH_DorsAttn_Post_41,Dorsal_Attention,1,0
213,7Networks_LH_DorsAttn_Post_42,Dorsal_Attention,1,0
214,7Networks_LH_DorsAttn_Post_43,Dorsal_Attention,1,0
215,7Networks_LH_DorsAttn_Post_44,Dorsal_Attention,1,0
216,7Networks_LH_DorsAttn_Post_45,Dorsal_Attention,1,0
217,7Networks_LH_DorsAttn_Post_46,Dorsal_Attention,1,0
218,7Networks_LH_DorsAttn_Post_47,Dorsal_Attention,1,0
219,7Networks_LH_DorsAttn_Post_48,Dorsal_Attention,1,0
220,7Networks_LH_DorsAttn_Post_49,Dorsal_Attention,1,0
221,7Networks_LH_DorsAttn_Post_50,Dorsal_Attention,1,0
222,7Networks_LH_DorsAttn_FEF_1,Dorsal_Attention,0,1
223,7Networks_LH_DorsAttn_FEF_2,Dorsal_Attention,0,1
224,7Networks_LH_DorsAttn_FEF_3,Dorsal_Attention,0,1
225,7Networks_LH_DorsAttn_FEF_4,Dorsal_Attention,0,1
226,7Networks_LH_DorsAttn_FEF_5,Dorsal_Attention,0,1
227,7Networks_LH_DorsAttn_FEF_6,Dorsal_Attention,0,1
228,7Networks_LH_DorsAttn_FEF_7,Dorsal_Attention,0,1
229,7Networks_LH_DorsAttn_PrCv_1,Dorsal_Attention,0,0
230,7Networks_LH_DorsAttn_PrCv_2,Dorsal_Attention,0,0
231,7Networks_LH_DorsAttn_PrCv_3,Dorsal_Attention,0,0
232,7Networks_LH_DorsAttn_PrCv_4,Dorsal_Attention,0,0
233,7Networks_LH_SalVentAttn_ParOper_1,Salience_Ventral_Attention,1,1
234,7Networks_LH_SalVentAttn_ParOper_2,Salience_Ventral_Attention,1,1
235,7Networks_LH_SalVentAttn_ParOper_3,Salience_Ventral_Attention,1,1
236,7Networks_LH_SalVentAttn_ParOper_4,Salience_Ventral_Attention,1,1
237,7Networks_LH_SalVentAttn_ParOper_5,Salience_Ventral_Attention,1,1
238,7Networks_LH_SalVentAttn_ParOper_6,Salience_Ventral_Attention,1,1
239,7Networks_LH_SalVentAttn_ParOper_7,Salience_Ventral_Attention,1,1
240,7Networks_LH_SalVentAttn_ParOper_8,Salience_Ventral_Attention,1,1
241,7Networks_LH_SalVentAttn_ParOper_9,Salience_Ventral_Attention,1,1
242,7Networks_LH_SalVentAttn_TempOcc_1,Salience_Ventral_Attention,1,1
243,7Networks_LH_SalVentAttn_TempOcc_2,Salience_Ventral_Attention,1,1
244,7Networks_LH_SalVentAttn_FrOperIns_1,Salience_Ventral_Attention,0,1
245,7Networks_LH_SalVentAttn_FrOperIns_2,Salience_Ventral_Attention,0,1
246,7Networks_LH_SalVentAttn_FrOperIns_3,Salience_Ventral_Attention,0,1
247,7Networks_LH_SalVentAttn_FrOperIns_4,Salience_Ventral_Attention,0,1
248,7Networks_LH_SalVentAttn_FrOperIns_5,Salience_Ventral_Attention,0,1
249,7Networks_LH_SalVentAttn_FrOperIns_6,Salience_Ventral_Attention,0,1
250,7Networks_LH_SalVentAttn_FrOperIns_7,Salience_Ventral_Attention,0,1
251,7Networks_LH_SalVentAttn_FrOperIns_8,Salience_Ventral_Attention,0,1
252,7Networks_LH_SalVentAttn_FrOperIns_9,Salience_Ventral_Attention,0,1
253,7Networks_LH_SalVentAttn_FrOperIns_10,Salience_Ventral_Attention,0,1
254,7Networks_LH_SalVentAttn_FrOperIns_11,Salience_Ventral_Attention,0,1
255,7Networks_LH_SalVentAttn_FrOperIns_12,Salience_Ventral_Attention,0,1
256,7Networks_LH_SalVentAttn_FrOperIns_13,Salience_Ventral_Attention,0,1
257,7Networks_LH_SalVentAttn_FrOperIns_14,Salience_Ventral_Attention,0,1
258,7Networks_LH_SalVentAttn_FrOperIns_15,Salience_Ventral_Attention,0,1
259,7Networks_LH_SalVentAttn_FrOperIns_16,Salience_Ventral_Attention,0,1
260,7Networks_LH_SalVentAttn_FrOperIns_17,Salience_Ventral_Attention,0,1
261,7Networks_LH_SalVentAttn_FrOperIns_18,Salience_Ventral_Attention,0,1
262,7Networks_LH_SalVentAttn_FrOperIns_19,Salience_Ventral_Attention,0,1
263,7Networks_LH_SalVentAttn_FrOperIns_20,Salience_Ventral_Attention,0,1
264,7Networks_LH_SalVentAttn_FrOperIns_21,Salience_Ventral_Attention,0,1
265,7Networks_LH_SalVentAttn_FrOperIns_22,Salience_Ventral_Attention,0,1
266,7Networks_LH_SalVentAttn_FrOperIns_23,Salience_Ventral_Attention,0,1
267,7Networks_LH_SalVentAttn_PFCl_1,Salience_Ventral_Attention,0,1
268,7Networks_LH_SalVentAttn_PFCl_2,Salience_Ventral_Attention,0,1
269,7Networks_LH_SalVentAttn_Med_1,Salience_Ventral_Attention,0,1
270,7Networks_LH_SalVentAttn_Med_2,Salience_Ventral_Attention,0,1
271,7Networks_LH_SalVentAttn_Med_3,Salience_Ventral_Attention,0,1
272,7Networks_LH_SalVentAttn_Med_4,Salience_Ventral_Attention,0,1
273,7Networks_LH_SalVentAttn_Med_5,Salience_Ventral_Attention,0,1
274,7Networks_LH_SalVentAttn_Med_6,Salience_Ventral_Attention,0,1
275,7Networks_LH_SalVentAttn_Med_7,Salience_Ventral_Attention,0,1
276,7Networks_LH_SalVentAttn_Med_8,Salience_Ventral_Attention,0,1
277,7Networks_LH_SalVentAttn_Med_9,Salience_Ventral_Attention,0,1
278,7Networks_LH_SalVentAttn_Med_10,Salience_Ventral_Attention,0,1
279,7Networks_LH_SalVentAttn_Med_11,Salience_Ventral_Attention,0,1
280,7Networks_LH_SalVentAttn_Med_12,Salience_Ventral_Attention,0,1
281,7Networks_LH_SalVentAttn_Med_13,Salience_Ventral_Attention,0,1
282,7Networks_LH_SalVentAttn_Med_14,Salience_Ventral_Attention,0,1
283,7Networks_LH_SalVentAttn_Med_15,Salience_Ventral_Attention,0,1
284,7Networks_LH_SalVentAttn_Med_16,Salience_Ventral_Attention,0,1
285,7Networks_LH_SalVentAttn_Med_17,Salience_Ventral_Attention,0,1
286,7Networks_LH_SalVentAttn_Med_18,Salience_Ventral_Attention,0,1
287,7Networks_LH_SalVentAttn_Med_19,Salience_Ventral_Attention,0,1
288,7Networks_LH_Limbic_OFC_1,Limbic,0,0
289,7Networks_LH_Limbic_OFC_2,Limbic,0,0
290,7Networks_LH_Limbic_OFC_3,Limbic,0,0
291,7Networks_LH_Limbic_OFC_4,Limbic,0,0
292,7Networks_LH_Limbic_OFC_5,Limbic,0,0
293,7Networks_LH_Limbic_OFC_6,Limbic,0,0
294,7Networks_LH_Limbic_OFC_7,Limbic,0,0
295,7Networks_LH_Limbic_OFC_8,Limbic,0,0
296,7Networks_LH_Limbic_OFC_9,Limbic,0,0
297,7Networks_LH_Limbic_OFC_10,Limbic,0,0
298,7Networks_LH_Limbic_OFC_11,Limbic,0,0
299,7Networks_LH_Limbic_OFC_12,Limbic,0,0
300,7Networks_LH_Limbic_OFC_13,Limbic,0,0
