0.00000000,0.02864097,2.69934823,0.00450665,0.16944588,5.36935653,0.11784192,0.22333105,0.00317573,0.09437427,0.00000000,0.00075319,0.04046764,0.00000000
0.02864097,0.00000000,0.33538721,3.50076172,2.91780713,2.68818752,1.25189894,0.00422132,0.01532676,0.00654171,0.00590397,0.03121496,0.01937508,0.00316001
2.69934823,0.33538721,0.00000000,0.52707551,7.41146954,27.26624073,42.41739863,0.28166959,0.00573763,1.07679671,0.00742474,0.09589668,0.46909984,0.35975569
0.00450665,3.50076172,0.52707551,0.00000000,1.81491745,1.97895408,14.40499996,0.00000000,0.00539367,0.00816401,0.15028419,0.02867129,0.01149366,0.06100432
0.16944588,2.91780713,7.41146954,1.81491745,0.00000000,22.83216919,3.53243885,0.00861605,0.03232238,0.13024315,0.04238498,0.13076938,0.09620264,0.04187282
5.36935653,2.68818752,27.26624073,1.97895408,22.83216919,0.00000000,8.52395431,0.06074577,0.02984084,0.37605104,0.01298470,0.06891157,0.24809740,0.07152203
0.11784192,1.25189894,42.41739863,14.40499996,3.53243885,8.52395431,0.00000000,0.00000000,0.00120007,0.29188449,0.05990708,0.02102122,0.07202558,0.57468725
0.22333105,0.00422132,0.28166959,0.00000000,0.00861605,0.06074577,0.00000000,0.00000000,0.04340658,3.12639032,0.00853339,0.16888314,5.58835589,0.12227184
0.00317573,0.01532676,0.00573763,0.00539367,0.03232238,0.02984084,0.00120007,0.04340658,0.00000000,0.21219331,3.27891245,1.33992963,2.11842653,1.12717779
0.09437427,0.00654171,1.07679671,0.00816401,0.13024315,0.37605104,0.29188449,3.12639032,0.21219331,0.00000000,0.35034465,4.05349829,22.23358109,34.96962877
0.00000000,0.00590397,0.00742474,0.15028419,0.04238498,0.01298470,0.05990708,0.00853339,3.27891245,0.35034465,0.00000000,0.51950797,1.17470707,12.65732925
0.00075319,0.03121496,0.09589668,0.02867129,0.13076938,0.06891157,0.02102122,0.16888314,1.33992963,4.05349829,0.51950797,0.00000000,22.01687981,2.43787113
0.04046764,0.01937508,0.46909984,0.01149366,0.09620264,0.24809740,0.07202558,5.58835589,2.11842653,22.23358109,1.17470707,22.01687981,0.00000000,8.87394457
0.00000000,0.00316001,0.35975569,0.06100432,0.04187282,0.07152203,0.57468725,0.12227184,1.12717779,34.96962877,12.65732925,2.43787113,8.87394457,0.00000000
